Number of iterations:	 1	 Error:	 1.950000	 Elapsed Wtime:	       0.000000
Number of iterations:	 2	 Error:	 1.390289	 Elapsed Wtime:	       0.000592
Number of iterations:	 3	 Error:	 1.101370	 Elapsed Wtime:	       0.001225
Number of iterations:	 4	 Error:	 0.916116	 Elapsed Wtime:	       0.001810
Number of iterations:	 5	 Error:	 0.783794	 Elapsed Wtime:	       0.002253
Number of iterations:	 6	 Error:	 0.683003	 Elapsed Wtime:	       0.002572
Number of iterations:	 7	 Error:	 0.602903	 Elapsed Wtime:	       0.002884
Number of iterations:	 8	 Error:	 0.537314	 Elapsed Wtime:	       0.003200
Number of iterations:	 9	 Error:	 0.482407	 Elapsed Wtime:	       0.003510
Number of iterations:	 10	 Error:	 0.435659	 Elapsed Wtime:	       0.003820
Number of iterations:	 11	 Error:	 0.395323	 Elapsed Wtime:	       0.004135
Number of iterations:	 12	 Error:	 0.360146	 Elapsed Wtime:	       0.004445
Number of iterations:	 13	 Error:	 0.329196	 Elapsed Wtime:	       0.004754
Number of iterations:	 14	 Error:	 0.301765	 Elapsed Wtime:	       0.005069
Number of iterations:	 15	 Error:	 0.277303	 Elapsed Wtime:	       0.005380
Number of iterations:	 16	 Error:	 0.255373	 Elapsed Wtime:	       0.005690
Number of iterations:	 17	 Error:	 0.235624	 Elapsed Wtime:	       0.006005
Number of iterations:	 18	 Error:	 0.217768	 Elapsed Wtime:	       0.006316
Number of iterations:	 19	 Error:	 0.201568	 Elapsed Wtime:	       0.006626
Number of iterations:	 20	 Error:	 0.186825	 Elapsed Wtime:	       0.006938
Number of iterations:	 21	 Error:	 0.173372	 Elapsed Wtime:	       0.007250
Number of iterations:	 22	 Error:	 0.161066	 Elapsed Wtime:	       0.007560
Number of iterations:	 23	 Error:	 0.149785	 Elapsed Wtime:	       0.007872
Number of iterations:	 24	 Error:	 0.139423	 Elapsed Wtime:	       0.008187
Number of iterations:	 25	 Error:	 0.129888	 Elapsed Wtime:	       0.008497
Number of iterations:	 26	 Error:	 0.121101	 Elapsed Wtime:	       0.008809
Number of iterations:	 27	 Error:	 0.112989	 Elapsed Wtime:	       0.009127
Number of iterations:	 28	 Error:	 0.105492	 Elapsed Wtime:	       0.009438
Number of iterations:	 29	 Error:	 0.098555	 Elapsed Wtime:	       0.009765
Number of iterations:	 30	 Error:	 0.092127	 Elapsed Wtime:	       0.010101
Number of iterations:	 31	 Error:	 0.086166	 Elapsed Wtime:	       0.010418
Number of iterations:	 32	 Error:	 0.080631	 Elapsed Wtime:	       0.010729
Number of iterations:	 33	 Error:	 0.080000	 Elapsed Wtime:	       0.011046
Number of iterations:	 34	 Error:	 0.080858	 Elapsed Wtime:	       0.011360
Number of iterations:	 35	 Error:	 0.079230	 Elapsed Wtime:	       0.011672
Number of iterations:	 36	 Error:	 0.075128	 Elapsed Wtime:	       0.011987
Number of iterations:	 37	 Error:	 0.075297	 Elapsed Wtime:	       0.012300
Number of iterations:	 38	 Error:	 0.074308	 Elapsed Wtime:	       0.012620
