Number of iterations:	 1	 Error:	 1.950000	 Elapsed Wtime:	       0.000000
Number of iterations:	 2	 Error:	 1.901250	 Elapsed Wtime:	       0.004734
Number of iterations:	 3	 Error:	 1.355532	 Elapsed Wtime:	       0.009474
Number of iterations:	 4	 Error:	 1.073835	 Elapsed Wtime:	       0.014215
Number of iterations:	 5	 Error:	 0.893213	 Elapsed Wtime:	       0.018952
Number of iterations:	 6	 Error:	 0.764199	 Elapsed Wtime:	       0.023946
Number of iterations:	 7	 Error:	 0.665928	 Elapsed Wtime:	       0.028679
Number of iterations:	 8	 Error:	 0.587830	 Elapsed Wtime:	       0.033420
Number of iterations:	 9	 Error:	 0.523881	 Elapsed Wtime:	       0.038160
Number of iterations:	 10	 Error:	 0.470347	 Elapsed Wtime:	       0.042894
Number of iterations:	 11	 Error:	 0.424767	 Elapsed Wtime:	       0.047627
Number of iterations:	 12	 Error:	 0.385440	 Elapsed Wtime:	       0.052371
Number of iterations:	 13	 Error:	 0.351142	 Elapsed Wtime:	       0.057114
Number of iterations:	 14	 Error:	 0.320966	 Elapsed Wtime:	       0.061849
Number of iterations:	 15	 Error:	 0.294221	 Elapsed Wtime:	       0.066588
Number of iterations:	 16	 Error:	 0.270371	 Elapsed Wtime:	       0.071328
Number of iterations:	 17	 Error:	 0.248989	 Elapsed Wtime:	       0.076069
Number of iterations:	 18	 Error:	 0.229734	 Elapsed Wtime:	       0.080997
Number of iterations:	 19	 Error:	 0.212324	 Elapsed Wtime:	       0.085826
Number of iterations:	 20	 Error:	 0.196529	 Elapsed Wtime:	       0.090678
Number of iterations:	 21	 Error:	 0.182155	 Elapsed Wtime:	       0.095524
Number of iterations:	 22	 Error:	 0.169038	 Elapsed Wtime:	       0.100375
Number of iterations:	 23	 Error:	 0.157040	 Elapsed Wtime:	       0.105224
Number of iterations:	 24	 Error:	 0.146041	 Elapsed Wtime:	       0.110073
Number of iterations:	 25	 Error:	 0.135937	 Elapsed Wtime:	       0.114894
Number of iterations:	 26	 Error:	 0.126641	 Elapsed Wtime:	       0.119687
Number of iterations:	 27	 Error:	 0.118073	 Elapsed Wtime:	       0.124612
Number of iterations:	 28	 Error:	 0.110165	 Elapsed Wtime:	       0.129375
Number of iterations:	 29	 Error:	 0.102855	 Elapsed Wtime:	       0.134269
Number of iterations:	 30	 Error:	 0.096091	 Elapsed Wtime:	       0.139076
Number of iterations:	 31	 Error:	 0.089824	 Elapsed Wtime:	       0.143871
Number of iterations:	 32	 Error:	 0.084012	 Elapsed Wtime:	       0.148757
Number of iterations:	 33	 Error:	 0.078616	 Elapsed Wtime:	       0.153551
Number of iterations:	 34	 Error:	 0.073602	 Elapsed Wtime:	       0.158396
Number of iterations:	 35	 Error:	 0.068939	 Elapsed Wtime:	       0.163188
Number of iterations:	 36	 Error:	 0.064599	 Elapsed Wtime:	       0.167942
Number of iterations:	 37	 Error:	 0.060556	 Elapsed Wtime:	       0.172730
Number of iterations:	 38	 Error:	 0.056788	 Elapsed Wtime:	       0.177526
Number of iterations:	 39	 Error:	 0.053274	 Elapsed Wtime:	       0.182313
Number of iterations:	 40	 Error:	 0.049994	 Elapsed Wtime:	       0.187075
