Number of iterations:	 1	 Error:	 1.950000	 Elapsed Wtime:	       0.000000
Number of iterations:	 2	 Error:	 1.901250	 Elapsed Wtime:	       0.002291
Number of iterations:	 3	 Error:	 1.355532	 Elapsed Wtime:	       0.004331
Number of iterations:	 4	 Error:	 1.073835	 Elapsed Wtime:	       0.005532
Number of iterations:	 5	 Error:	 0.893213	 Elapsed Wtime:	       0.006760
Number of iterations:	 6	 Error:	 0.764199	 Elapsed Wtime:	       0.007962
Number of iterations:	 7	 Error:	 0.665928	 Elapsed Wtime:	       0.009183
Number of iterations:	 8	 Error:	 0.587830	 Elapsed Wtime:	       0.010386
Number of iterations:	 9	 Error:	 0.523881	 Elapsed Wtime:	       0.011583
Number of iterations:	 10	 Error:	 0.470347	 Elapsed Wtime:	       0.012813
Number of iterations:	 11	 Error:	 0.424767	 Elapsed Wtime:	       0.014040
Number of iterations:	 12	 Error:	 0.385440	 Elapsed Wtime:	       0.015239
Number of iterations:	 13	 Error:	 0.351142	 Elapsed Wtime:	       0.016438
Number of iterations:	 14	 Error:	 0.320966	 Elapsed Wtime:	       0.017668
Number of iterations:	 15	 Error:	 0.294221	 Elapsed Wtime:	       0.018893
Number of iterations:	 16	 Error:	 0.270371	 Elapsed Wtime:	       0.020092
Number of iterations:	 17	 Error:	 0.248989	 Elapsed Wtime:	       0.021312
Number of iterations:	 18	 Error:	 0.229734	 Elapsed Wtime:	       0.022511
Number of iterations:	 19	 Error:	 0.212324	 Elapsed Wtime:	       0.023741
Number of iterations:	 20	 Error:	 0.196529	 Elapsed Wtime:	       0.024943
Number of iterations:	 21	 Error:	 0.182155	 Elapsed Wtime:	       0.026188
Number of iterations:	 22	 Error:	 0.169038	 Elapsed Wtime:	       0.027391
Number of iterations:	 23	 Error:	 0.157040	 Elapsed Wtime:	       0.028590
Number of iterations:	 24	 Error:	 0.146041	 Elapsed Wtime:	       0.029819
Number of iterations:	 25	 Error:	 0.135937	 Elapsed Wtime:	       0.031044
Number of iterations:	 26	 Error:	 0.126641	 Elapsed Wtime:	       0.032243
Number of iterations:	 27	 Error:	 0.118073	 Elapsed Wtime:	       0.033444
Number of iterations:	 28	 Error:	 0.110165	 Elapsed Wtime:	       0.034675
Number of iterations:	 29	 Error:	 0.102855	 Elapsed Wtime:	       0.035919
Number of iterations:	 30	 Error:	 0.096091	 Elapsed Wtime:	       0.037171
Number of iterations:	 31	 Error:	 0.089824	 Elapsed Wtime:	       0.038401
Number of iterations:	 32	 Error:	 0.084012	 Elapsed Wtime:	       0.039600
Number of iterations:	 33	 Error:	 0.078616	 Elapsed Wtime:	       0.040822
Number of iterations:	 34	 Error:	 0.073602	 Elapsed Wtime:	       0.042023
Number of iterations:	 35	 Error:	 0.068939	 Elapsed Wtime:	       0.043245
Number of iterations:	 36	 Error:	 0.064599	 Elapsed Wtime:	       0.044448
Number of iterations:	 37	 Error:	 0.060556	 Elapsed Wtime:	       0.045650
Number of iterations:	 38	 Error:	 0.056788	 Elapsed Wtime:	       0.046894
Number of iterations:	 39	 Error:	 0.053274	 Elapsed Wtime:	       0.048119
Number of iterations:	 40	 Error:	 0.049994	 Elapsed Wtime:	       0.049321
