Number of iterations:	 81	 Error:	 0.004331	 Elapsed Wtime:	       0.383304
Number of iterations:	 82	 Error:	 0.004143	 Elapsed Wtime:	       0.388126
Number of iterations:	 83	 Error:	 0.003914	 Elapsed Wtime:	       0.392904
Number of iterations:	 84	 Error:	 0.003699	 Elapsed Wtime:	       0.397728
Number of iterations:	 85	 Error:	 0.003495	 Elapsed Wtime:	       0.402499
Number of iterations:	 86	 Error:	 0.003303	 Elapsed Wtime:	       0.407281
Number of iterations:	 87	 Error:	 0.003122	 Elapsed Wtime:	       0.412135
Number of iterations:	 88	 Error:	 0.002951	 Elapsed Wtime:	       0.416911
Number of iterations:	 89	 Error:	 0.002789	 Elapsed Wtime:	       0.421739
Number of iterations:	 90	 Error:	 0.002636	 Elapsed Wtime:	       0.426519
Number of iterations:	 91	 Error:	 0.002492	 Elapsed Wtime:	       0.431289
Number of iterations:	 92	 Error:	 0.002356	 Elapsed Wtime:	       0.436111
Number of iterations:	 93	 Error:	 0.002228	 Elapsed Wtime:	       0.440894
Number of iterations:	 94	 Error:	 0.002106	 Elapsed Wtime:	       0.445707
Number of iterations:	 95	 Error:	 0.001992	 Elapsed Wtime:	       0.450486
Number of iterations:	 96	 Error:	 0.001883	 Elapsed Wtime:	       0.455260
Number of iterations:	 97	 Error:	 0.001812	 Elapsed Wtime:	       0.460115
Number of iterations:	 98	 Error:	 0.001801	 Elapsed Wtime:	       0.464893
Number of iterations:	 99	 Error:	 0.001807	 Elapsed Wtime:	       0.469793
Number of iterations:	 100	 Error:	 0.001746	 Elapsed Wtime:	       0.474529
Number of iterations:	 101	 Error:	 0.001786	 Elapsed Wtime:	       0.479314
Number of iterations:	 102	 Error:	 0.001743	 Elapsed Wtime:	       0.484137
Number of iterations:	 103	 Error:	 0.001744	 Elapsed Wtime:	       0.488911
Number of iterations:	 104	 Error:	 0.001711	 Elapsed Wtime:	       0.493736
Number of iterations:	 105	 Error:	 0.001719	 Elapsed Wtime:	       0.498516
Number of iterations:	 106	 Error:	 0.001689	 Elapsed Wtime:	       0.503312
Number of iterations:	 107	 Error:	 0.001671	 Elapsed Wtime:	       0.508139
Number of iterations:	 108	 Error:	 0.001685	 Elapsed Wtime:	       0.512917
Number of iterations:	 109	 Error:	 0.001635	 Elapsed Wtime:	       0.517738
Number of iterations:	 110	 Error:	 0.001662	 Elapsed Wtime:	       0.522510
Number of iterations:	 111	 Error:	 0.001628	 Elapsed Wtime:	       0.527290
Number of iterations:	 112	 Error:	 0.001629	 Elapsed Wtime:	       0.532109
Number of iterations:	 113	 Error:	 0.001604	 Elapsed Wtime:	       0.536887
Number of iterations:	 114	 Error:	 0.001612	 Elapsed Wtime:	       0.541709
Number of iterations:	 115	 Error:	 0.001581	 Elapsed Wtime:	       0.546487
Number of iterations:	 116	 Error:	 0.001586	 Elapsed Wtime:	       0.551264
Number of iterations:	 117	 Error:	 0.001577	 Elapsed Wtime:	       0.556083
Number of iterations:	 118	 Error:	 0.001555	 Elapsed Wtime:	       0.560886
Number of iterations:	 119	 Error:	 0.001565	 Elapsed Wtime:	       0.565712
Number of iterations:	 120	 Error:	 0.001530	 Elapsed Wtime:	       0.570491
Number of iterations:	 121	 Error:	 0.001545	 Elapsed Wtime:	       0.575268
Number of iterations:	 122	 Error:	 0.001517	 Elapsed Wtime:	       0.580091
Number of iterations:	 123	 Error:	 0.001522	 Elapsed Wtime:	       0.584877
Number of iterations:	 124	 Error:	 0.001498	 Elapsed Wtime:	       0.589709
Number of iterations:	 125	 Error:	 0.001504	 Elapsed Wtime:	       0.594500
Number of iterations:	 126	 Error:	 0.001483	 Elapsed Wtime:	       0.599268
Number of iterations:	 127	 Error:	 0.001487	 Elapsed Wtime:	       0.604094
Number of iterations:	 128	 Error:	 0.001474	 Elapsed Wtime:	       0.608875
Number of iterations:	 129	 Error:	 0.001467	 Elapsed Wtime:	       0.613700
Number of iterations:	 130	 Error:	 0.001463	 Elapsed Wtime:	       0.618473
Number of iterations:	 131	 Error:	 0.001448	 Elapsed Wtime:	       0.623249
Number of iterations:	 132	 Error:	 0.001449	 Elapsed Wtime:	       0.628074
Number of iterations:	 133	 Error:	 0.001429	 Elapsed Wtime:	       0.632851
Number of iterations:	 134	 Error:	 0.001434	 Elapsed Wtime:	       0.637621
Number of iterations:	 135	 Error:	 0.001411	 Elapsed Wtime:	       0.642447
Number of iterations:	 136	 Error:	 0.001417	 Elapsed Wtime:	       0.647226
Number of iterations:	 137	 Error:	 0.001397	 Elapsed Wtime:	       0.652048
Number of iterations:	 138	 Error:	 0.001400	 Elapsed Wtime:	       0.656791
Number of iterations:	 139	 Error:	 0.001386	 Elapsed Wtime:	       0.661525
Number of iterations:	 140	 Error:	 0.001384	 Elapsed Wtime:	       0.666293
Number of iterations:	 141	 Error:	 0.001374	 Elapsed Wtime:	       0.671049
Number of iterations:	 142	 Error:	 0.001370	 Elapsed Wtime:	       0.675876
Number of iterations:	 143	 Error:	 0.001363	 Elapsed Wtime:	       0.680650
Number of iterations:	 144	 Error:	 0.001356	 Elapsed Wtime:	       0.685423
