The overrelaxation coefficient (omega) passed from command line is	 1.950
The border exchange factor passed from command line is	 1
Number of iterations:	 80	 Error:	 0.010210	 Elapsed Wtime:	       0.028374
Number of iterations:	 81	 Error:	 0.009814	 Elapsed Wtime:	       0.028672
Number of iterations:	 82	 Error:	 0.009410	 Elapsed Wtime:	       0.028969
Number of iterations:	 83	 Error:	 0.008973	 Elapsed Wtime:	       0.029313
Number of iterations:	 84	 Error:	 0.008287	 Elapsed Wtime:	       0.029611
Number of iterations:	 85	 Error:	 0.007547	 Elapsed Wtime:	       0.029909
Number of iterations:	 86	 Error:	 0.007633	 Elapsed Wtime:	       0.030209
Number of iterations:	 87	 Error:	 0.007143	 Elapsed Wtime:	       0.030540
Number of iterations:	 88	 Error:	 0.007132	 Elapsed Wtime:	       0.030837
Number of iterations:	 89	 Error:	 0.006959	 Elapsed Wtime:	       0.031137
Number of iterations:	 90	 Error:	 0.006645	 Elapsed Wtime:	       0.031469
Number of iterations:	 91	 Error:	 0.006413	 Elapsed Wtime:	       0.031767
Number of iterations:	 92	 Error:	 0.006257	 Elapsed Wtime:	       0.032065
Number of iterations:	 93	 Error:	 0.006266	 Elapsed Wtime:	       0.032395
Number of iterations:	 94	 Error:	 0.006085	 Elapsed Wtime:	       0.032693
Number of iterations:	 95	 Error:	 0.005861	 Elapsed Wtime:	       0.032991
Number of iterations:	 96	 Error:	 0.005689	 Elapsed Wtime:	       0.033322
Number of iterations:	 97	 Error:	 0.005689	 Elapsed Wtime:	       0.033621
Number of iterations:	 98	 Error:	 0.005597	 Elapsed Wtime:	       0.033920
Number of iterations:	 99	 Error:	 0.005483	 Elapsed Wtime:	       0.034225
Number of iterations:	 100	 Error:	 0.005405	 Elapsed Wtime:	       0.034542
Number of iterations:	 101	 Error:	 0.005318	 Elapsed Wtime:	       0.034843
Number of iterations:	 102	 Error:	 0.005259	 Elapsed Wtime:	       0.035147
Number of iterations:	 103	 Error:	 0.004990	 Elapsed Wtime:	       0.035461
Number of iterations:	 104	 Error:	 0.004867	 Elapsed Wtime:	       0.035759
Number of iterations:	 105	 Error:	 0.004853	 Elapsed Wtime:	       0.036058
Number of iterations:	 106	 Error:	 0.004591	 Elapsed Wtime:	       0.036372
Number of iterations:	 107	 Error:	 0.004557	 Elapsed Wtime:	       0.036680
Number of iterations:	 108	 Error:	 0.004512	 Elapsed Wtime:	       0.036983
Number of iterations:	 109	 Error:	 0.004330	 Elapsed Wtime:	       0.037300
Number of iterations:	 110	 Error:	 0.004307	 Elapsed Wtime:	       0.037599
Number of iterations:	 111	 Error:	 0.004267	 Elapsed Wtime:	       0.037898
Number of iterations:	 112	 Error:	 0.004176	 Elapsed Wtime:	       0.038199
Number of iterations:	 113	 Error:	 0.004055	 Elapsed Wtime:	       0.038516
Number of iterations:	 114	 Error:	 0.004015	 Elapsed Wtime:	       0.038815
Number of iterations:	 115	 Error:	 0.003903	 Elapsed Wtime:	       0.039139
Number of iterations:	 116	 Error:	 0.003781	 Elapsed Wtime:	       0.039454
Number of iterations:	 117	 Error:	 0.003686	 Elapsed Wtime:	       0.039757
Number of iterations:	 118	 Error:	 0.003691	 Elapsed Wtime:	       0.040057
Number of iterations:	 119	 Error:	 0.003485	 Elapsed Wtime:	       0.040375
Number of iterations:	 120	 Error:	 0.003433	 Elapsed Wtime:	       0.040675
Number of iterations:	 121	 Error:	 0.003366	 Elapsed Wtime:	       0.040974
Number of iterations:	 122	 Error:	 0.003294	 Elapsed Wtime:	       0.041290
Number of iterations:	 123	 Error:	 0.003233	 Elapsed Wtime:	       0.041590
Number of iterations:	 124	 Error:	 0.003183	 Elapsed Wtime:	       0.041889
Number of iterations:	 125	 Error:	 0.003073	 Elapsed Wtime:	       0.042191
Number of iterations:	 126	 Error:	 0.003063	 Elapsed Wtime:	       0.042509
Number of iterations:	 127	 Error:	 0.003002	 Elapsed Wtime:	       0.042808
Number of iterations:	 128	 Error:	 0.003013	 Elapsed Wtime:	       0.043107
Number of iterations:	 129	 Error:	 0.002936	 Elapsed Wtime:	       0.043427
Number of iterations:	 130	 Error:	 0.002817	 Elapsed Wtime:	       0.043728
Number of iterations:	 131	 Error:	 0.002819	 Elapsed Wtime:	       0.044028
Number of iterations:	 132	 Error:	 0.002787	 Elapsed Wtime:	       0.044344
Number of iterations:	 133	 Error:	 0.002666	 Elapsed Wtime:	       0.044644
Number of iterations:	 134	 Error:	 0.002601	 Elapsed Wtime:	       0.044945
Number of iterations:	 135	 Error:	 0.002631	 Elapsed Wtime:	       0.045262
Number of iterations:	 136	 Error:	 0.002618	 Elapsed Wtime:	       0.045579
Number of iterations:	 137	 Error:	 0.002540	 Elapsed Wtime:	       0.045879
Number of iterations:	 138	 Error:	 0.002504	 Elapsed Wtime:	       0.046181
Number of iterations:	 139	 Error:	 0.002462	 Elapsed Wtime:	       0.046498
Number of iterations:	 140	 Error:	 0.002398	 Elapsed Wtime:	       0.046799
Number of iterations:	 141	 Error:	 0.002366	 Elapsed Wtime:	       0.047098
Number of iterations:	 142	 Error:	 0.002371	 Elapsed Wtime:	       0.047417
Number of iterations:	 143	 Error:	 0.002315	 Elapsed Wtime:	       0.047717
Number of iterations:	 144	 Error:	 0.002249	 Elapsed Wtime:	       0.048017
Number of iterations:	 145	 Error:	 0.002191	 Elapsed Wtime:	       0.048333
Number of iterations:	 146	 Error:	 0.002162	 Elapsed Wtime:	       0.048634
Number of iterations:	 147	 Error:	 0.002138	 Elapsed Wtime:	       0.048934
Number of iterations:	 148	 Error:	 0.002097	 Elapsed Wtime:	       0.049237
Number of iterations:	 149	 Error:	 0.002057	 Elapsed Wtime:	       0.049560
Number of iterations:	 150	 Error:	 0.002038	 Elapsed Wtime:	       0.049861
Number of iterations:	 151	 Error:	 0.002007	 Elapsed Wtime:	       0.050165
Number of iterations:	 152	 Error:	 0.001956	 Elapsed Wtime:	       0.050617
Number of iterations:	 153	 Error:	 0.001922	 Elapsed Wtime:	       0.050924
Number of iterations:	 154	 Error:	 0.001892	 Elapsed Wtime:	       0.051235
Number of iterations:	 155	 Error:	 0.001852	 Elapsed Wtime:	       0.051569
Number of iterations:	 156	 Error:	 0.001829	 Elapsed Wtime:	       0.051874
Number of iterations:	 157	 Error:	 0.001800	 Elapsed Wtime:	       0.052183
Number of iterations:	 158	 Error:	 0.001781	 Elapsed Wtime:	       0.052532
Number of iterations:	 159	 Error:	 0.001748	 Elapsed Wtime:	       0.052843
Number of iterations:	 160	 Error:	 0.001726	 Elapsed Wtime:	       0.053155
Number of iterations:	 161	 Error:	 0.001691	 Elapsed Wtime:	       0.053490
Number of iterations:	 162	 Error:	 0.001672	 Elapsed Wtime:	       0.053797
Number of iterations:	 163	 Error:	 0.001643	 Elapsed Wtime:	       0.054105
Number of iterations:	 164	 Error:	 0.001619	 Elapsed Wtime:	       0.054441
Number of iterations:	 165	 Error:	 0.001592	 Elapsed Wtime:	       0.054749
Number of iterations:	 166	 Error:	 0.001582	 Elapsed Wtime:	       0.055061
Number of iterations:	 167	 Error:	 0.001557	 Elapsed Wtime:	       0.055398
Number of iterations:	 168	 Error:	 0.001523	 Elapsed Wtime:	       0.055708
Number of iterations:	 169	 Error:	 0.001496	 Elapsed Wtime:	       0.056020
Number of iterations:	 170	 Error:	 0.001477	 Elapsed Wtime:	       0.056355
Number of iterations:	 171	 Error:	 0.001453	 Elapsed Wtime:	       0.056665
Number of iterations:	 172	 Error:	 0.001429	 Elapsed Wtime:	       0.056975
Number of iterations:	 173	 Error:	 0.001409	 Elapsed Wtime:	       0.057306
Number of iterations:	 174	 Error:	 0.001391	 Elapsed Wtime:	       0.057615
Number of iterations:	 175	 Error:	 0.001370	 Elapsed Wtime:	       0.057926
Number of iterations:	 176	 Error:	 0.001349	 Elapsed Wtime:	       0.058241
Number of iterations:	 177	 Error:	 0.001323	 Elapsed Wtime:	       0.058571
Number of iterations:	 178	 Error:	 0.001304	 Elapsed Wtime:	       0.058880
Number of iterations:	 179	 Error:	 0.001287	 Elapsed Wtime:	       0.059193
Number of iterations:	 180	 Error:	 0.001265	 Elapsed Wtime:	       0.059526
Number of iterations:	 181	 Error:	 0.001245	 Elapsed Wtime:	       0.059836
Number of iterations:	 182	 Error:	 0.001223	 Elapsed Wtime:	       0.060149
Number of iterations:	 183	 Error:	 0.001204	 Elapsed Wtime:	       0.060480
Number of iterations:	 184	 Error:	 0.001184	 Elapsed Wtime:	       0.060790
Number of iterations:	 185	 Error:	 0.001166	 Elapsed Wtime:	       0.061101
Number of iterations:	 186	 Error:	 0.001148	 Elapsed Wtime:	       0.061434
Number of iterations:	 187	 Error:	 0.001135	 Elapsed Wtime:	       0.061747
Number of iterations:	 188	 Error:	 0.001121	 Elapsed Wtime:	       0.062059
Number of iterations:	 189	 Error:	 0.001103	 Elapsed Wtime:	       0.062394
Number of iterations:	 190	 Error:	 0.001089	 Elapsed Wtime:	       0.062707
Number of iterations:	 191	 Error:	 0.001068	 Elapsed Wtime:	       0.063018
Number of iterations:	 192	 Error:	 0.001055	 Elapsed Wtime:	       0.063352
