Number of iterations:	 1	 Error:	 0.000000	 Elapsed Wtime:	       0.000000
Number of iterations:	 2	 Error:	 0.000000	 Elapsed Wtime:	       0.002256
Number of iterations:	 3	 Error:	 0.000000	 Elapsed Wtime:	       0.004513
Number of iterations:	 4	 Error:	 0.000000	 Elapsed Wtime:	       0.006769
Number of iterations:	 5	 Error:	 0.000000	 Elapsed Wtime:	       0.009021
Number of iterations:	 6	 Error:	 0.000000	 Elapsed Wtime:	       0.011272
Number of iterations:	 7	 Error:	 0.000000	 Elapsed Wtime:	       0.012992
Number of iterations:	 8	 Error:	 0.000000	 Elapsed Wtime:	       0.014174
Number of iterations:	 9	 Error:	 0.000000	 Elapsed Wtime:	       0.015357
Number of iterations:	 10	 Error:	 0.000000	 Elapsed Wtime:	       0.016537
Number of iterations:	 11	 Error:	 0.000000	 Elapsed Wtime:	       0.017713
Number of iterations:	 12	 Error:	 0.000000	 Elapsed Wtime:	       0.018891
Number of iterations:	 13	 Error:	 0.000000	 Elapsed Wtime:	       0.020068
Number of iterations:	 14	 Error:	 0.000000	 Elapsed Wtime:	       0.021250
Number of iterations:	 15	 Error:	 0.000000	 Elapsed Wtime:	       0.022427
Number of iterations:	 16	 Error:	 0.000000	 Elapsed Wtime:	       0.023605
Number of iterations:	 17	 Error:	 0.000000	 Elapsed Wtime:	       0.024785
Number of iterations:	 18	 Error:	 0.000000	 Elapsed Wtime:	       0.025963
Number of iterations:	 19	 Error:	 0.000000	 Elapsed Wtime:	       0.027141
Number of iterations:	 20	 Error:	 0.000000	 Elapsed Wtime:	       0.028323
Number of iterations:	 21	 Error:	 0.000000	 Elapsed Wtime:	       0.029532
Number of iterations:	 22	 Error:	 0.000000	 Elapsed Wtime:	       0.030711
Number of iterations:	 23	 Error:	 0.000000	 Elapsed Wtime:	       0.031890
Number of iterations:	 24	 Error:	 0.000001	 Elapsed Wtime:	       0.033068
Number of iterations:	 25	 Error:	 0.000020	 Elapsed Wtime:	       0.034260
Number of iterations:	 26	 Error:	 0.000237	 Elapsed Wtime:	       0.035441
Number of iterations:	 27	 Error:	 0.001770	 Elapsed Wtime:	       0.036620
Number of iterations:	 28	 Error:	 0.008420	 Elapsed Wtime:	       0.037810
Number of iterations:	 29	 Error:	 0.025450	 Elapsed Wtime:	       0.038989
Number of iterations:	 30	 Error:	 0.046540	 Elapsed Wtime:	       0.040189
Number of iterations:	 31	 Error:	 0.050073	 Elapsed Wtime:	       0.041385
Number of iterations:	 32	 Error:	 0.048977	 Elapsed Wtime:	       0.042568
Number of iterations:	 33	 Error:	 0.047941	 Elapsed Wtime:	       0.043747
Number of iterations:	 34	 Error:	 0.047461	 Elapsed Wtime:	       0.044928
Number of iterations:	 35	 Error:	 0.046229	 Elapsed Wtime:	       0.046108
Number of iterations:	 36	 Error:	 0.046598	 Elapsed Wtime:	       0.047291
Number of iterations:	 37	 Error:	 0.045990	 Elapsed Wtime:	       0.048469
Number of iterations:	 38	 Error:	 0.043152	 Elapsed Wtime:	       0.049647
Number of iterations:	 39	 Error:	 0.043960	 Elapsed Wtime:	       0.050829
Number of iterations:	 40	 Error:	 0.045787	 Elapsed Wtime:	       0.052008
Number of iterations:	 41	 Error:	 0.045787	 Elapsed Wtime:	       0.053192
Number of iterations:	 42	 Error:	 0.044070	 Elapsed Wtime:	       0.054389
Number of iterations:	 43	 Error:	 0.041396	 Elapsed Wtime:	       0.055587
Number of iterations:	 44	 Error:	 0.038894	 Elapsed Wtime:	       0.056768
Number of iterations:	 45	 Error:	 0.036554	 Elapsed Wtime:	       0.058419
Number of iterations:	 46	 Error:	 0.034363	 Elapsed Wtime:	       0.059997
Number of iterations:	 47	 Error:	 0.032311	 Elapsed Wtime:	       0.061196
Number of iterations:	 48	 Error:	 0.030389	 Elapsed Wtime:	       0.062385
Number of iterations:	 49	 Error:	 0.028588	 Elapsed Wtime:	       0.063629
Number of iterations:	 50	 Error:	 0.026899	 Elapsed Wtime:	       0.064815
Number of iterations:	 51	 Error:	 0.025315	 Elapsed Wtime:	       0.066000
Number of iterations:	 52	 Error:	 0.023829	 Elapsed Wtime:	       0.067184
Number of iterations:	 53	 Error:	 0.022435	 Elapsed Wtime:	       0.068368
Number of iterations:	 54	 Error:	 0.021126	 Elapsed Wtime:	       0.069551
Number of iterations:	 55	 Error:	 0.019897	 Elapsed Wtime:	       0.070732
Number of iterations:	 56	 Error:	 0.018742	 Elapsed Wtime:	       0.071917
Number of iterations:	 57	 Error:	 0.017658	 Elapsed Wtime:	       0.073100
Number of iterations:	 58	 Error:	 0.016639	 Elapsed Wtime:	       0.074287
Number of iterations:	 59	 Error:	 0.015681	 Elapsed Wtime:	       0.075470
Number of iterations:	 60	 Error:	 0.014780	 Elapsed Wtime:	       0.076653
Number of iterations:	 61	 Error:	 0.013933	 Elapsed Wtime:	       0.077833
Number of iterations:	 62	 Error:	 0.013137	 Elapsed Wtime:	       0.079015
Number of iterations:	 63	 Error:	 0.012388	 Elapsed Wtime:	       0.080200
Number of iterations:	 64	 Error:	 0.011682	 Elapsed Wtime:	       0.081388
Number of iterations:	 65	 Error:	 0.011019	 Elapsed Wtime:	       0.082570
Number of iterations:	 66	 Error:	 0.010394	 Elapsed Wtime:	       0.083750
Number of iterations:	 67	 Error:	 0.009806	 Elapsed Wtime:	       0.084932
Number of iterations:	 68	 Error:	 0.009252	 Elapsed Wtime:	       0.086115
Number of iterations:	 69	 Error:	 0.008731	 Elapsed Wtime:	       0.087303
Number of iterations:	 70	 Error:	 0.008240	 Elapsed Wtime:	       0.088486
Number of iterations:	 71	 Error:	 0.007777	 Elapsed Wtime:	       0.089669
Number of iterations:	 72	 Error:	 0.007341	 Elapsed Wtime:	       0.090851
Number of iterations:	 73	 Error:	 0.007929	 Elapsed Wtime:	       0.092047
Number of iterations:	 74	 Error:	 0.007760	 Elapsed Wtime:	       0.093246
Number of iterations:	 75	 Error:	 0.007278	 Elapsed Wtime:	       0.094429
Number of iterations:	 76	 Error:	 0.007370	 Elapsed Wtime:	       0.095619
Number of iterations:	 77	 Error:	 0.007145	 Elapsed Wtime:	       0.096804
Number of iterations:	 78	 Error:	 0.006813	 Elapsed Wtime:	       0.097988
Number of iterations:	 79	 Error:	 0.006826	 Elapsed Wtime:	       0.099171
Number of iterations:	 80	 Error:	 0.006506	 Elapsed Wtime:	       0.100363
Number of iterations:	 81	 Error:	 0.005879	 Elapsed Wtime:	       0.101546
Number of iterations:	 82	 Error:	 0.005548	 Elapsed Wtime:	       0.102728
Number of iterations:	 83	 Error:	 0.005521	 Elapsed Wtime:	       0.103912
Number of iterations:	 84	 Error:	 0.005765	 Elapsed Wtime:	       0.105094
Number of iterations:	 85	 Error:	 0.005825	 Elapsed Wtime:	       0.106283
Number of iterations:	 86	 Error:	 0.005783	 Elapsed Wtime:	       0.107467
Number of iterations:	 87	 Error:	 0.005559	 Elapsed Wtime:	       0.108651
Number of iterations:	 88	 Error:	 0.005164	 Elapsed Wtime:	       0.109833
Number of iterations:	 89	 Error:	 0.004633	 Elapsed Wtime:	       0.111016
Number of iterations:	 90	 Error:	 0.004014	 Elapsed Wtime:	       0.112200
Number of iterations:	 91	 Error:	 0.003781	 Elapsed Wtime:	       0.113386
Number of iterations:	 92	 Error:	 0.003567	 Elapsed Wtime:	       0.114569
Number of iterations:	 93	 Error:	 0.003479	 Elapsed Wtime:	       0.115752
Number of iterations:	 94	 Error:	 0.003502	 Elapsed Wtime:	       0.116934
Number of iterations:	 95	 Error:	 0.003467	 Elapsed Wtime:	       0.118119
Number of iterations:	 96	 Error:	 0.003334	 Elapsed Wtime:	       0.119306
Number of iterations:	 97	 Error:	 0.003122	 Elapsed Wtime:	       0.120489
Number of iterations:	 98	 Error:	 0.003078	 Elapsed Wtime:	       0.121673
Number of iterations:	 99	 Error:	 0.003012	 Elapsed Wtime:	       0.122856
Number of iterations:	 100	 Error:	 0.002939	 Elapsed Wtime:	       0.124038
Number of iterations:	 101	 Error:	 0.002920	 Elapsed Wtime:	       0.125226
Number of iterations:	 102	 Error:	 0.002873	 Elapsed Wtime:	       0.126413
Number of iterations:	 103	 Error:	 0.002866	 Elapsed Wtime:	       0.127598
Number of iterations:	 104	 Error:	 0.002789	 Elapsed Wtime:	       0.128780
Number of iterations:	 105	 Error:	 0.002757	 Elapsed Wtime:	       0.129963
Number of iterations:	 106	 Error:	 0.002769	 Elapsed Wtime:	       0.131145
Number of iterations:	 107	 Error:	 0.002714	 Elapsed Wtime:	       0.132352
Number of iterations:	 108	 Error:	 0.002694	 Elapsed Wtime:	       0.133537
Number of iterations:	 109	 Error:	 0.002751	 Elapsed Wtime:	       0.134723
Number of iterations:	 110	 Error:	 0.002752	 Elapsed Wtime:	       0.135908
Number of iterations:	 111	 Error:	 0.002683	 Elapsed Wtime:	       0.137091
Number of iterations:	 112	 Error:	 0.002637	 Elapsed Wtime:	       0.138279
Number of iterations:	 113	 Error:	 0.002707	 Elapsed Wtime:	       0.139477
Number of iterations:	 114	 Error:	 0.002823	 Elapsed Wtime:	       0.140661
Number of iterations:	 115	 Error:	 0.002837	 Elapsed Wtime:	       0.141854
Number of iterations:	 116	 Error:	 0.002753	 Elapsed Wtime:	       0.143044
Number of iterations:	 117	 Error:	 0.002695	 Elapsed Wtime:	       0.144239
Number of iterations:	 118	 Error:	 0.002638	 Elapsed Wtime:	       0.145430
Number of iterations:	 119	 Error:	 0.002623	 Elapsed Wtime:	       0.146614
Number of iterations:	 120	 Error:	 0.002572	 Elapsed Wtime:	       0.147800
Number of iterations:	 121	 Error:	 0.002540	 Elapsed Wtime:	       0.148984
Number of iterations:	 122	 Error:	 0.002539	 Elapsed Wtime:	       0.150177
Number of iterations:	 123	 Error:	 0.002505	 Elapsed Wtime:	       0.151365
Number of iterations:	 124	 Error:	 0.002475	 Elapsed Wtime:	       0.152548
Number of iterations:	 125	 Error:	 0.002478	 Elapsed Wtime:	       0.153733
Number of iterations:	 126	 Error:	 0.002439	 Elapsed Wtime:	       0.154918
Number of iterations:	 127	 Error:	 0.002415	 Elapsed Wtime:	       0.156105
Number of iterations:	 128	 Error:	 0.002399	 Elapsed Wtime:	       0.157295
Number of iterations:	 129	 Error:	 0.002392	 Elapsed Wtime:	       0.158482
