3 	 3.478812 	 3.070609 	 0.018532 	 0.017530 	 0.372141 
0 	 3.482443 	 2.666599 	 0.144432 	 0.455951 	 0.215462 
2 	 3.482438 	 2.575658 	 0.197533 	 0.491884 	 0.217363 
1 	 3.482837 	 2.976381 	 0.056951 	 0.118691 	 0.330815 
3 	 2.935693 	 2.687987 	 0.019338 	 0.010440 	 0.217929 
0 	 2.938829 	 2.556236 	 0.009234 	 0.151303 	 0.222056 
1 	 2.939230 	 2.541590 	 0.013884 	 0.163135 	 0.220621 
2 	 2.939692 	 2.533537 	 0.021794 	 0.164567 	 0.219794 
1 	 3.019869 	 2.766370 	 0.023961 	 0.009594 	 0.219945 
0 	 3.021532 	 2.757717 	 0.012337 	 0.032517 	 0.218961 
3 	 3.024257 	 2.548070 	 0.018384 	 0.221687 	 0.236115 
2 	 3.025455 	 2.555630 	 0.030997 	 0.213703 	 0.225125 
2 	 3.002713 	 2.546627 	 0.022948 	 0.221546 	 0.211593 
1 	 3.005833 	 2.586606 	 0.011650 	 0.189948 	 0.217629 
3 	 3.006743 	 2.754735 	 0.022436 	 0.013889 	 0.215683 
0 	 3.008330 	 2.750704 	 0.014180 	 0.026440 	 0.217007 
0 	 2.990227 	 2.539279 	 0.069836 	 0.168121 	 0.212991 
3 	 2.992468 	 2.681641 	 0.078900 	 0.015926 	 0.216001 
1 	 2.992884 	 2.538000 	 0.071828 	 0.166224 	 0.216832 
2 	 2.992907 	 2.603474 	 0.016632 	 0.098181 	 0.274621 
2 	 3.019303 	 2.553727 	 0.018052 	 0.223130 	 0.224394 
3 	 3.031960 	 2.768783 	 0.020282 	 0.008335 	 0.234560 
1 	 3.035612 	 2.555184 	 0.013172 	 0.228340 	 0.238916 
0 	 3.025447 	 2.766400 	 0.011206 	 0.019371 	 0.228470 
3 	 2.992748 	 2.548514 	 0.023440 	 0.204811 	 0.215983 
2 	 3.005496 	 2.737124 	 0.017694 	 0.016903 	 0.233775 
0 	 3.020695 	 2.548627 	 0.011445 	 0.213409 	 0.247214 
1 	 3.021467 	 2.736624 	 0.014272 	 0.023071 	 0.247500 
1 	 3.060867 	 2.540958 	 0.096396 	 0.186907 	 0.236606 
2 	 3.083563 	 2.711525 	 0.097476 	 0.009948 	 0.264615 
0 	 3.084349 	 2.552277 	 0.009141 	 0.185246 	 0.337685 
3 	 3.092581 	 2.545882 	 0.018890 	 0.175356 	 0.352452 
1 	 3.039635 	 2.777004 	 0.023552 	 0.028150 	 0.210929 
2 	 3.039648 	 2.620017 	 0.016303 	 0.183725 	 0.219603 
3 	 3.040954 	 2.546161 	 0.031600 	 0.252091 	 0.211102 
0 	 3.044358 	 2.788791 	 0.015495 	 0.020597 	 0.219475 
2 	 3.012268 	 2.761104 	 0.021265 	 0.019148 	 0.210751 
1 	 3.015083 	 2.558160 	 0.013998 	 0.228701 	 0.214225 
3 	 3.015280 	 2.610638 	 0.016888 	 0.172922 	 0.214832 
0 	 3.016830 	 2.766843 	 0.009159 	 0.023682 	 0.217146 
